'name,code,asset_amount,currency_amount,domain
HOLZ,HOLZ,1999999987 HOLZ,$0.127,forestry.stellar-commodities.com
WFP,WFP,1999999987 WFP,$0.127,forestry.stellar-commodities.com
Dehua Co. Ltd.,DHU,1999999876 DHU,$0.127,forestry.stellar-commodities.com
Duratex,DTX,1999987987 DTX,$0.127,forestry.stellar-commodities.com
Svenska Cellulosa AB,SCA,700000000 SCA,$0.127,forestry.stellar-commodities.com
Silver,ROSILVER,5282.62 ROSILVER,$0.127,ro-stellar.co
SBQ,SBQ,2140999999 SBQ,$0.126,No Domain
IPAYDE,IPAYDE,228310.59 IPAYDE,$0.126,No Domain
Showa Denko K. K.,SDKK,2099999997 SDKK,$0.125,aluminum.stellar-commodities.com
CVX,CVX,985066857.27 CVX,$0.125,No Domain
Interfor Corporation,IFP,2099999997 IFP,$0.124,forestry.stellar-commodities.com
Enviva Partners LLP,ENVA,2099999997 ENVA,$0.124,forestry.stellar-commodities.com
